Estado,State,Medio,Media Outlet,Ciudad,City,Dirección,Zip Code,Latitud,Longitud,Formato,Format,Idioma,Language,Contenido,Content,Web,Año de fundación ,Dueño/Tipo de propiedad,Owner/Type of Ownership,Audiencia/circulación,Audience/circulation,Fuentes de ingresos,Sources of Revenue,Número de empleados/Number of employees,Frecuencia,Frequency,Facebook,Twitter,Instagram,YouTube,Otra red social
Georgia,Georgia,La Visión,La Visión,Norcross,Norcross,"1394 Indian Trail Lilburn Rd, Suite 202",30093,33.919043,-84.164958,Periódico,Newspaper,Español,Spanish,,,http://lavisionnewspaper.com,2000,,,,,,,,,,https://www.facebook.com/LAVISIONATLANTA,https://twitter.com/LaVisionAtlanta,https://www.instagram.com/lavisionatlanta/,https://www.youtube.com/user/LaVisionAtlanta,
Georgia,Georgia,El Nuevo Georgia,El Nuevo Georgia,Norcross,Norcross,PO Box 2644,30091,33.9418864,-84.209125,Periódico,Newspaper,Español,Spanish,,,http://www.elnuevogeorgia.com/,1989,Medio local independiente,Local independent media,"Impreso: 10,000-19,999","Print: 10,000-19,999",,,1-5,Bisemanal,Bi-weekly,https://www.facebook.com/elnuevogeorgia/,https://twitter.com/elnuevogeorgia,,https://www.youtube.com/user/Elnuevogeorgia1/videos,
Georgia,Georgia,Mundo Hispánico,Mundo Hispánico,Doraville,Doraville,5269 Buford Hwy.,30340,33.89517,-84.28204,Periódico,Newspaper,Español,Spanish,"Noticias, Entretenimiento, Deportes, Estilo de vida","News, Entertainment, Sports, Lifestyle",https://mundohispanico.com/,1974,Privado. Participación minoritaria de Mundo Hispano Digital Network,Private. Minority interest of Mundo Hispano Digital Network,"Impreso: 50,000+. Boletín: 10,000. Web: 7 millones","Print: 50,000+. Newsletter: 10,000. Web: 7 million","Publicidad, Financiamiento privado, Patrocinadores corporativos","Advertising, Private funding, Corporate sponsors",21-50,Diario ,Daily ,https://www.facebook.com/mundohispanico/,https://twitter.com/MundoHispanico,https://www.instagram.com/mundohispanico/?hl=es,https://www.youtube.com/user/MundoHispanico, LinkedIn.com/company/mundohispano
Georgia,Georgia,Telemundo Atlanta,Telemundo Atlanta,Duluth,Duluth,4675 River Green Parkway,30096,34.013629,-84.172094,TV,TV,Español,Spanish,,,https://www.telemundoatlanta.com/,,Korean American TV Broadcasting,Korean American TV Broadcasting,,,,,,,,https://www.facebook.com/TelemundoAtlanta/,https://twitter.com/TelemundoAtl,https://www.instagram.com/telemundoatlanta/,https://www.youtube.com/user/telemundoatlanta,
Georgia,Georgia,Univisión 34 Atlanta,Univisión 34 Atlanta,Atlanta,Atlanta,"3350 Peachtree Rd., #1250",30326,33.848009,-84.368512,TV,TV,Español,Spanish,,,http://www.Univision.com/atlanta/wuvg,,Univision ,Univision ,,,,,,,,https://www.facebook.com/Univisionatlanta,https://twitter.com/univision34ATL,https://www.instagram.com/univision34atl/,,
Georgia,Georgia,The Courier Eco Latino,The Courier Eco Latino,Columbus,Columbus,1300 Wynnton Rd.,31906,32.466127,-84.973584,Periódico,Newspaper,Español/Inglés,Spanish/English,,,http://www.couriernews.org/,,,,,,,,,,,https://www.facebook.com/couriereconews/,https://twitter.com/thecouriereco,,,
Georgia,Georgia,Zona Pop by CNN,Zona Pop by CNN,Atlanta,Atlanta,One CNN Center,30303,33.758103,-84.39462,Podcast,Podcast,Español,Spanish,,,https://itunes.apple.com/us/podcast/zona-pop/id1216746903?mt=2,,Turner,Turner,,,,,,,,https://www.facebook.com/ZonaPopCNN/,https://twitter.com/ZonaPopCNN,https://www.instagram.com/zonapopcnn/,,
Georgia,Georgia,Fuentes Confiables,Fuentes Confiables,Atlanta,Atlanta,One CNN Center,30303,33.758103,-84.39462,Podcast,Podcast,Español,Spanish,,,https://itunes.apple.com/us/podcast/fuentes-confiables/id1219452076?mt=2,,Turner,Turner,,,,,,,,,,,,
Georgia,Georgia,Conclusiones,Conclusiones,Atlanta,Atlanta,One CNN Center,30303,33.758103,-84.39462,Podcast,Podcast,Español,Spanish,,,https://itunes.apple.com/us/podcast/conclusiones/id1223106393?mt=2,,Turner,Turner,,,,,,,,,,,,
Georgia,Georgia,Oppenheimer,Oppenheimer,Atlanta,Atlanta,One CNN Center,30303,33.758103,-84.39462,Podcast,Podcast,Español,Spanish,,,https://itunes.apple.com/us/podcast/oppenheimer/id1220985045?mt=2,,Turner,Turner,,,,,,,,,,,,
