domain,media_name,state_abbr,language,target_community
afro.com,The Afro American Newspaper-baltimore,MD,english,African American
baltimoretimes-online.com,The Baltimore Times,MD,english,African American
baltimorebeat.com,Baltimore Beat,MD,english,African American
bmorenews.com,BMORENews.com,MD,english,African American
noticiaslavoz.com,La Voz,MA,spanish,Latino
masslive.com,El Pueblo Latino,MA,spanish,Latino
hairenikweekly.com,Hairenik Weekly,MA,armenian,Other
telemundonuevainglaterra.com,Telemundo Nueva Inglaterra,MA,spanish,Latino
sapannews.com,Sapan News Network,MA,english,Asian American
mirrorspectator.com,Armenian Mirror-Spectator,MA,english,Other
armenianweekly.com,Armenian Weekly,MA,english,Other
elmundoboston.com,El Mundo Boston,MA,spanish,Latino
sampan.org,Sampan Newspaper,MA,english,Asian American
elplaneta.com,El Planeta,MA,spanish,Latino
bostonirish.com,Boston Irish Reporter,MA,,Irish American
bostonpostgazette.com,Post-Gazette,MA,english,Italian American
baystatebanner.com,Bay State Banner,MA,english,African American
ctninfo.com,Caribbean Television Network,MA,english,Other
elvocero.net,El Vocero Hispano,MI,spanish,Latino
lazocultural.com,Lazo Cultural,MI,spanish,Latino
elinformadorusa.com,El Informador,MI,spanish,Latino
grtimes.com,Grand Rapids Times,MI,english,African American
latinosenmichigantv.com,Latinos en Michigan TV,MI,spanish,Latino
polishweekly.com,Tygodnik Polski,MI,english,Polish
thejewishnews.com,Detroit Jewish News,MI,english,Other
laprensanewspaper.com,La Prensa/La Prensa de Toledo,MI,bi-lingual,Latino
latinodetroit.com,Latino Press,MI,spanish,Latino
fm881whpr.com,WHPR,MI,english,African American
telegramnews.net,Detroit Telegram,MI,english,African American
michiganchronicle.com,Michigan Chronicle,MI,english,African American
elcentralmedia.com,El Central Hispanic News,MI,bi-lingual,Latino
arabamericannews.com,Arab American News,MI,bi-lingual,Other
spokesman-recorder.com,Minneapolis Spokesman Reporter,MN,english,African American
mntv.hn,Noticias MN,MN,spanish,Latino
telemundominnesota.com,Telemundo Minnesota,MN,spanish,Latino
univisionminnesota.com,WUMN Univisión Minnesota 13,MN,spanish,Latino
elminnesotadehoy.com,El Minnesota de Hoy,MN,spanish,Latino
laprensademn.com,La Prensa de Minnesota,MN,spanish,Latino
lamatracanews.com,La Matraca Magazine,MN,spanish,Latino
wjzd.com,WJZD,MS,english,African American
jacksonadvocateonline.com,Jackson Advocate,MS,english,African American
themississippilink.com,Mississippi Link,MS,english,African American
104wgnl.com,WGNL/WGNG,MS,english,African American
lanoticianewspaper.com,La Noticia,MS,spanish,Latino
telocuentonews.com,Te Lo Cuento News,MO,spanish,Latino
telemundokc.com,Telemundo Kansas City,MO,spanish,Latino
univisionkansascity.com,Univisión Kansas City,MO,spanish,Latino
kccallnews.net,The Call,MO,english,African American
thekansascityglobe.com,Kansas City Globe,MO,english,African American
kansascitydefender.com,The Kansas City Defender,MO,english,African American
kchispanicnews.com,Kansas City Hispanic News,MO,english,Latino
redlatinastl.com,Red Latina,MO,spanish,Latino
ilpensiero.net,Il Pensiero,MO,italian,Other
diariodigitalstl.com,Diario Digital,MO,spanish,Latino
stlamerican.com,St. Louis American,MO,english,African American
charkoosta.com,Char-Koosta News,MT,english,Native American
957fmtheboss.com,KOWN,NE,english,African American
telemundonebraska.com,Telemundo Nebraska,NE,spanish,Latino
theomahastar.com,Omaha Star,NE,english,African American
elmundo.net,El Mundo,NV,spanish,Latino
lavozdenevada.com,Radio La Voz de Nevada,NV,spanish,Latino
telemundolasvegas.com,Telemundo Las Vegas,NV,spanish,Latino
lvisraelite.com,Las Vegas Israelite,NV,english,Other
frontrunnernewjersey.com,Front Runner New Jersey.com,NJ,english,African American
atlanticcityfocus.com,Atlantic City Focus,NJ,english,African American
telemundo47.com,Telemundo 47,NJ,spanish,Latino
jewishlinknj.com,The Jewish Link Media Group,NJ,english,Jewish
lusoamericano.com,Luso Americano,NJ,portuguese,Other
njurbannews.com,NJ Urban News,NJ,english,African American
poderlatinousa.com,Poder Latino USA,NJ,spanish,Latino
elespecialitomk.com,El Especialito/El Especial,NJ,spanish,Latino
americanonewspaper.com,Americano Newspaper,NJ,bi-lingual,Latino
posteaglenewspaper.com,The Post Eagle,NJ,english,Other
telemundonuevomexico.com,KASA 2 Telemundo,NM,spanish,Latino
ampoleagle.com,The Am-Pol Eagle,NY,polish,Polish
caribbeanlife.com,Caribbean Life,NY,english,Other
eldiariony.com,El Diario,NY,spanish,Latino
haitiprogres.com,Haiti Progres,NY,french,Other
hitn.tv,HITN,NY,spanish,Latino
ourtimepress.com,Our Time Press,NY,english,African American
kurierplus.com,Kurier,NY,polish,Other
rusrek.com,Russian Advertiser,NY,russian,Other
viceversa-mag.com,ViceVersa Magazine,NY,spanish,Latino
ictnews.org,Indian Country Today,NY,english,Native American
latribunahispana.com,La Tribuna Hispana,NY,spanish,Latino
irishecho.com,Irish Echo,NY,english,Other
latintrends.com,Latin Trends,NY,bi-lingual,Latino
manhattantimesnews.com,Manhattan Times,NY,english,Latino
newsindiatimes.com,News India-Times,NY,english,Asian American
amsterdamnews.com,New York Amsterdam News,NY,english,African American
newyorkbeacon.com,New York Beacon,NY,english,African American
nycaribnews.com,New York Carib News,NY,english,African American
thebronxfreepress.com,The Bronx Free Press,NY,bi-lingual,Latino
remezcla.com,Remezcla,NY,english,Latino
impactolatino.com,Impacto Latino,NY,spanish,Latino
vabaeestisona.com,Free Estonian Word,NY,english,Other
blackstarnews.com,Black Star News,NY,english,African American
dziennik.com,Nowy Dziennik,NY,polish,Other
nycinarabic.com,New York in Arabic,NY,arabic,Arab American
cnylatinonewspaper.com,CNY Latino,NY,bi-lingual,Latino
hudsonvalleypress.com,Hudson Valley Press,NY,english,African American/Latino
ecuadornews.com.ec,Ecuador News,NY,spanish,Latino
nepyork.com,NepYork,NY,english,Asian American
thenationalherald.com,The National Herald,NY,english,Other
nymagazin.com,New York Magazin,NY,romanian,Other
queenslatino.com,Queens Latino,NY,spanish,Latino
khasokhas.com,KHASOKHAS,NY,hindi,Asian American
hispanonewjersey.com,New Jersey Hispano,NY,spanish,Latino
westchestercountypress.com,Westchester County Press,NY,english,African American
westchesterhispano.net,Westchester Hispano,NY,spanish,Latino
burlingtonlatino.com,Burlington Latino,NC,spanish,Latino
holacarolina.org,Hola Carolina,NC,spanish,Latino
jmprocommunitymedia.org,JMPro Community Media,NC,english,"Latino, African American"
theonefeather.com,The Cherokee One Feather,NC,english,Native American
wccg1045fm.com,WCCG,NC,english,African American
triangletribune.com,The Triangle Tribune,NC,english,African American
